epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5913,1.22842,3.18637,1.183,0.89885,0.15443,0.30081,0.22305,1.10393,2.72132,1.08273,0.000253547,0.000253547,0.000253547
2,24.5343,1.27802,1.93192,1.21641,0.50552,0.37583,0.35935,0.23787,1.19403,1.60921,1.21781,0.000506515,0.000506515,0.000506515
3,36.7933,1.27492,1.73063,1.2324,0.40984,0.3674,0.36365,0.25556,1.21101,1.55447,1.19649,0.0007561,0.0007561,0.0007561
4,48.385,1.29591,1.67035,1.2335,0.56615,0.36014,0.35927,0.2487,1.24004,1.55777,1.22577,0.000753774,0.000753774,0.000753774
5,60.0999,1.24285,1.59224,1.21409,0.53525,0.39095,0.38411,0.27332,1.21892,1.46214,1.21615,0.000748698,0.000748698,0.000748698
6,71.5868,1.24262,1.56198,1.20274,0.52165,0.36162,0.35753,0.23247,1.24271,1.50232,1.22599,0.000743623,0.000743623,0.000743623
7,83.0467,1.23204,1.52878,1.20004,0.52342,0.42571,0.40249,0.28372,1.19222,1.48877,1.20534,0.000738548,0.000738548,0.000738548
8,94.4781,1.21694,1.46796,1.18948,0.55377,0.40401,0.4202,0.28631,1.19323,1.3774,1.20347,0.000733472,0.000733472,0.000733472
9,105.837,1.1899,1.44122,1.18232,0.56962,0.39193,0.40796,0.28836,1.16716,1.47175,1.17236,0.000728397,0.000728397,0.000728397
10,117.42,1.19233,1.39012,1.17726,0.43243,0.48104,0.45048,0.32573,1.16258,1.26665,1.16522,0.000723321,0.000723321,0.000723321
11,128.988,1.18861,1.37741,1.17078,0.5729,0.4106,0.43957,0.30404,1.16534,1.35968,1.17699,0.000718246,0.000718246,0.000718246
12,140.313,1.16782,1.34163,1.16186,0.57458,0.39254,0.4412,0.3155,1.13933,1.36455,1.16704,0.000713171,0.000713171,0.000713171
13,151.849,1.15454,1.32708,1.16206,0.63428,0.39291,0.44292,0.32574,1.10061,1.3277,1.14869,0.000708095,0.000708095,0.000708095
14,163.31,1.14261,1.3061,1.15859,0.4299,0.46588,0.44262,0.32174,1.15123,1.2796,1.17817,0.00070302,0.00070302,0.00070302
