epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5225,1.19219,2.6251,1.1752,0.56188,0.3081,0.36332,0.26956,1.07059,2.15152,1.09078,0.000253547,0.000253547,0.000253547
2,23.5878,1.19314,1.69804,1.17157,0.40861,0.39711,0.39273,0.2638,1.19081,1.67898,1.21535,0.000506515,0.000506515,0.000506515
3,34.5503,1.21974,1.62119,1.19303,0.42292,0.38356,0.37821,0.26548,1.18464,1.58332,1.20036,0.0007561,0.0007561,0.0007561
4,45.4392,1.2397,1.58269,1.19069,0.47715,0.38593,0.40643,0.27929,1.21107,1.42154,1.1966,0.000753774,0.000753774,0.000753774
5,56.3153,1.20342,1.51611,1.18364,0.5209,0.42198,0.40949,0.28331,1.20323,1.46975,1.20578,0.000748698,0.000748698,0.000748698
6,67.6206,1.19602,1.479,1.17679,0.41213,0.45932,0.40663,0.27957,1.20323,1.50845,1.20442,0.000743623,0.000743623,0.000743623
7,78.4585,1.18794,1.44621,1.17308,0.43884,0.45674,0.42604,0.29867,1.17925,1.39156,1.19764,0.000738548,0.000738548,0.000738548
8,89.3016,1.18249,1.42062,1.17262,0.53714,0.42652,0.42551,0.30013,1.17509,1.40569,1.18388,0.000733472,0.000733472,0.000733472
9,100.142,1.15379,1.38004,1.16229,0.49484,0.43887,0.44682,0.31697,1.15797,1.31786,1.1703,0.000728397,0.000728397,0.000728397
10,110.971,1.16008,1.34674,1.16189,0.46424,0.45264,0.45251,0.32683,1.14715,1.32932,1.18008,0.000723321,0.000723321,0.000723321
11,121.846,1.15704,1.33159,1.15707,0.55542,0.42349,0.43455,0.31518,1.1293,1.33068,1.15951,0.000718246,0.000718246,0.000718246
12,132.674,1.12687,1.27377,1.13777,0.50791,0.44703,0.47494,0.33983,1.13945,1.24698,1.1723,0.000713171,0.000713171,0.000713171
13,143.516,1.11958,1.26734,1.14356,0.52343,0.47683,0.4695,0.33407,1.13961,1.2547,1.15515,0.000708095,0.000708095,0.000708095
14,154.302,1.11182,1.24568,1.14118,0.42445,0.46231,0.44802,0.32615,1.13674,1.25324,1.16329,0.00070302,0.00070302,0.00070302
15,165.139,1.09605,1.22287,1.13251,0.47928,0.51193,0.47663,0.3458,1.10512,1.23115,1.13889,0.000697944,0.000697944,0.000697944
16,175.955,1.09994,1.22606,1.13278,0.49616,0.44719,0.46018,0.3261,1.10375,1.22739,1.14801,0.000692869,0.000692869,0.000692869
17,186.788,1.09243,1.18198,1.12377,0.47129,0.49658,0.48422,0.34837,1.10569,1.22287,1.15605,0.000687794,0.000687794,0.000687794
18,197.583,1.0988,1.17511,1.12777,0.48953,0.5074,0.48083,0.35057,1.10341,1.21326,1.14545,0.000682718,0.000682718,0.000682718
19,208.434,1.08046,1.18594,1.11559,0.4928,0.50809,0.49162,0.35716,1.09729,1.16098,1.12844,0.000677643,0.000677643,0.000677643
20,219.3,1.07856,1.1368,1.11718,0.54873,0.46691,0.49632,0.36712,1.09797,1.1821,1.13259,0.000672567,0.000672567,0.000672567
21,230.154,1.0667,1.13968,1.11537,0.48892,0.49026,0.49873,0.36905,1.06488,1.14243,1.11993,0.000667492,0.000667492,0.000667492
22,240.976,1.05074,1.11393,1.1106,0.48658,0.47629,0.48679,0.34746,1.09531,1.16681,1.1421,0.000662417,0.000662417,0.000662417
