epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.8146,1.52525,2.64958,1.26395,0.65363,0.28452,0.33963,0.21728,1.53945,2.63822,1.31742,0.000329004,0.000329004,0.000329004
2,21.065,1.52876,1.78253,1.27033,0.51336,0.37213,0.41818,0.26791,1.53439,1.68521,1.33156,0.000655781,0.000655781,0.000655781
3,30.2077,1.54882,1.74822,1.28674,0.34437,0.36304,0.28617,0.16877,1.70493,1.9741,1.41767,0.000975957,0.000975957,0.000975957
4,39.2708,1.56421,1.70781,1.30094,0.66956,0.34934,0.33371,0.20277,1.62589,1.85361,1.40784,0.0009703,0.0009703,0.0009703
5,48.3481,1.56255,1.70043,1.30681,0.48207,0.45812,0.42293,0.26506,1.61518,1.74766,1.3882,0.0009604,0.0009604,0.0009604
6,57.429,1.54262,1.6321,1.29689,0.41698,0.37629,0.37768,0.24085,1.62916,1.66747,1.38472,0.0009505,0.0009505,0.0009505
7,66.6059,1.52978,1.61653,1.29666,0.47939,0.3055,0.33766,0.20834,1.68984,1.79105,1.41063,0.0009406,0.0009406,0.0009406
8,75.7638,1.50526,1.56652,1.28715,0.53609,0.39598,0.39588,0.25729,1.60473,1.67914,1.37759,0.0009307,0.0009307,0.0009307
9,84.9339,1.50124,1.55007,1.28121,0.64902,0.34588,0.42721,0.27862,1.60116,1.62765,1.3689,0.0009208,0.0009208,0.0009208
10,94.0933,1.49602,1.50226,1.27197,0.4627,0.34381,0.36074,0.21876,1.67904,1.72752,1.40236,0.0009109,0.0009109,0.0009109
11,103.238,1.48096,1.50509,1.26924,0.51492,0.36493,0.40721,0.24436,1.57512,1.6136,1.38182,0.000901,0.000901,0.000901
